Species,Genus,Genome_id
Abiotrophia defectiva,Abiotrophia,592010.4
Abiotrophia sp. HMSC24B09,Abiotrophia,1581061.66
Absiella dolichum,Absiella,31971.10
Absiella sp. AM09-45,Absiella,2291993.3
Absiella sp. AM09-50,Absiella,2291994.3
Absiella sp. AM10-20,Absiella,2291995.3
Absiella sp. AM22-9,Absiella,2291996.3
Absiella sp. AM27-20,Absiella,2292277.3
Absiella sp. AM29-15,Absiella,2292278.3
Absiella sp. AM54-8XD,Absiella,2292279.3
Acetivibrio ethanolgignens,Acetivibrio,290052.5
Acetobacter sp. 46_36,Acetobacter,1896965.3
Acetobacter sp. CAG,Acetobacter,1262684.3
Acetomicrobium hydrogeniformans,Acetomicrobium,592015.5
Acholeplasma sp. CAG,Acholeplasma,1262686.3
Achromobacter dolens,Achromobacter,1287738.3
Achromobacter insolitus,Achromobacter,217204.5
Achromobacter insuavis,Achromobacter,1287735.6
Achromobacter piechaudii,Achromobacter,742159.3
Achromobacter ruhlandii,Achromobacter,72557.10
Achromobacter sp.,Achromobacter,134375.17
Achromobacter sp. AONIH1,Achromobacter,1758194.3
Achromobacter sp. HMSC056C09,Achromobacter,1739443.3
Achromobacter sp. HMSC057D05,Achromobacter,1739526.3
Achromobacter sp. HMSC070F04,Achromobacter,1739276.3
Achromobacter sp. HMSC15D03,Achromobacter,1581105.3
Achromobacter xylosoxidans,Achromobacter,562971.11
Acidaminococcaceae bacterium,,2049052.10
Acidaminococcus intestini,Acidaminococcus,1120921.3
Acidaminococcus intestini CAG,Acidaminococcus,1263033.3
Acidaminococcus sp. AM05-11,Acidaminococcus,2291997.3
Acidaminococcus sp. AM33-14BH,Acidaminococcus,2292909.3
Acidaminococcus sp. CAG,Acidaminococcus,1262687.3
Acidaminococcus sp. D21,Acidaminococcus,563191.3
Acidiphilium sp. CAG,Acidiphilium,1262689.3
Acidipropionibacterium acidipropionici,Acidipropionibacterium,1748.11
Acidovorax sp. 121606,Acidovorax,1914867.3
Acidovorax sp. 12322-1,Acidovorax,1705602.3
Acidovorax sp. 202149,Acidovorax,1914868.3
Acinetobacter baumannii,Acinetobacter,1310784.3
Acinetobacter beijerinckii,Acinetobacter,1217648.3
Acinetobacter bereziniae,Acinetobacter,1217650.3
Acinetobacter brisouii,Acinetobacter,396323.8
Acinetobacter calcoaceticus,Acinetobacter,575585.3
Acinetobacter calcoaceticus subsp. anitratus,Acinetobacter,1235833.10
Acinetobacter calcoaceticus/baumannii complex sp. ABNIH27,Acinetobacter,2080673.3
Acinetobacter colistiniresistens,Acinetobacter,280145.10
Acinetobacter dijkshoorniae,Acinetobacter,1561081.4
Acinetobacter dispersus,Acinetobacter,70348.3
Acinetobacter genomosp. 33YU,Acinetobacter,1675530.3
Acinetobacter gerneri,Acinetobacter,1120926.3
Acinetobacter guillouiae,Acinetobacter,1217656.3
Acinetobacter gyllenbergii,Acinetobacter,1217657.3
Acinetobacter haemolyticus,Acinetobacter,707232.3
Acinetobacter indicus,Acinetobacter,756892.39
Acinetobacter johnsonii,Acinetobacter,1217663.8
Acinetobacter junii,Acinetobacter,1217666.3
Acinetobacter lactucae,Acinetobacter,1785128.6
Acinetobacter lwoffii,Acinetobacter,1217667.3
Acinetobacter nosocomialis,Acinetobacter,1343071.3
Acinetobacter oleivorans,Acinetobacter,1148157.9
Acinetobacter parvus,Acinetobacter,981333.4
Acinetobacter pittii,Acinetobacter,1217691.3
Acinetobacter proteolyticus,Acinetobacter,1776741.3
Acinetobacter radioresistens,Acinetobacter,1217674.4
Acinetobacter schindleri,Acinetobacter,1217988.3
Acinetobacter seifertii,Acinetobacter,1530123.8
Acinetobacter soli,Acinetobacter,1217677.3
Acinetobacter sp. 0000-0051-1906,Acinetobacter,1684145.4
Acinetobacter sp. 0000-0051-1909,Acinetobacter,1684146.4
Acinetobacter sp. 0000-0051-8448,Acinetobacter,1684147.4
Acinetobacter sp. 0000-0052-5682,Acinetobacter,1712385.4
Acinetobacter sp. 0000-0052-7200,Acinetobacter,1712384.4
Acinetobacter sp. 0000-0053-2562,Acinetobacter,1684148.4
Acinetobacter sp. 0000-0060-4277,Acinetobacter,1888930.4
Acinetobacter sp. 1000160,Acinetobacter,1310800.122
Acinetobacter sp. 1130196,Acinetobacter,1310772.3
Acinetobacter sp. 1179249,Acinetobacter,1310790.3
Acinetobacter sp. 1239920,Acinetobacter,1310680.3
Acinetobacter sp. 1245249,Acinetobacter,1310724.3
Acinetobacter sp. 1245593,Acinetobacter,1310728.3
Acinetobacter sp. 1264765,Acinetobacter,1310824.3
Acinetobacter sp. 1281984,Acinetobacter,1310795.3
Acinetobacter sp. 1289694,Acinetobacter,1310609.3
Acinetobacter sp. 1294243,Acinetobacter,1310756.3
Acinetobacter sp. 1294596,Acinetobacter,1310603.3
Acinetobacter sp. 1295259,Acinetobacter,1310608.3
Acinetobacter sp. 1396970,Acinetobacter,1310615.3
Acinetobacter sp. 1424608,Acinetobacter,1310779.3
Acinetobacter sp. 1461402,Acinetobacter,1310647.3
Acinetobacter sp. 1475718,Acinetobacter,1310652.3
Acinetobacter sp. 1542444,Acinetobacter,1310681.3
Acinetobacter sp. 1564232,Acinetobacter,1310723.3
Acinetobacter sp. 1566109,Acinetobacter,1310683.3
Acinetobacter sp. 1578804,Acinetobacter,1310689.3
Acinetobacter sp. 1592897,Acinetobacter,1310696.88
Acinetobacter sp. 216872,Acinetobacter,1310734.3
Acinetobacter sp. 21871,Acinetobacter,1310626.3
Acinetobacter sp. 225588,Acinetobacter,1310788.3
Acinetobacter sp. 230853,Acinetobacter,1310651.3
Acinetobacter sp. 243_ASPC,Acinetobacter,1579345.3
Acinetobacter sp. 259052,Acinetobacter,1310695.3
Acinetobacter sp. 25977_1,Acinetobacter,1310905.3
Acinetobacter sp. 25977_10,Acinetobacter,1310914.3
Acinetobacter sp. 25977_2,Acinetobacter,1310906.3
Acinetobacter sp. 25977_3,Acinetobacter,1310907.3
Acinetobacter sp. 25977_4,Acinetobacter,1310908.3
Acinetobacter sp. 25977_6,Acinetobacter,1310910.3
Acinetobacter sp. 25977_7,Acinetobacter,1310911.3
Acinetobacter sp. 25977_8,Acinetobacter,1310912.3
Acinetobacter sp. 263903-1,Acinetobacter,1310678.3
Acinetobacter sp. 263903-2,Acinetobacter,1310834.3
Acinetobacter sp. 272263,Acinetobacter,1310639.3
Acinetobacter sp. 478810,Acinetobacter,1310720.3
Acinetobacter sp. 479375,Acinetobacter,1310601.3
Acinetobacter sp. 528,Acinetobacter,1221302.3
Acinetobacter sp. 694762,Acinetobacter,1310705.3
Acinetobacter sp. 723929,Acinetobacter,1310711.3
Acinetobacter sp. 72431,Acinetobacter,1310685.3
Acinetobacter sp. 742879,Acinetobacter,1310791.3
Acinetobacter sp. 766875,Acinetobacter,1310677.3
Acinetobacter sp. 796380-1375,Acinetobacter,1310833.3
