Pathogen_Genus,No_Pathogen_species_in_genus,Total_Species_in_genus,Percent_Pathogens
Abiotrophia,1,2,0.5
Achromobacter,4,33,0.121212121
Acidaminococcus,1,4,0.25
Actinobacillus,3,57,0.052631579
Actinomadura,4,79,0.050632911
Actinomyces,27,88,0.306818182
Adlercreutzia,1,1,1
Advenella,1,11,0.090909091
Aerococcus,9,15,0.6
Aeromonas,39,146,0.267123288
Afipia,1,21,0.047619048
Aggregatibacter,8,14,0.571428571
Akkermansia,1,2,0.5
Alcaligenes,3,9,0.333333333
Alistipes,5,10,0.5
Alkanindiges,1,2,0.5
Alloiococcus,1,4,0.25
Alloscardovia,4,4,1
Amycolatopsis,2,100,0.02
Anaerococcus,10,16,0.625
Anaerofustis,1,3,0.333333333
Anaeroglobus,1,3,0.333333333
Anaerolinea,1,4,0.25
Anaerostipes,2,55,0.036363636
Anaerotruncus,1,12,0.083333333
Anaplasma,3,30,0.1
Aneurinibacillus,3,10,0.3
Anoxybacillus,1,38,0.026315789
Arcanobacterium,2,9,0.222222222
Arcobacter,3,41,0.073170732
Arthrobacter,2,226,0.008849558
Asaccharobacter,1,1,1
Atopobium,5,14,0.357142857
Aureimonas,1,4,0.25
Azospirillum,10,66,0.151515152
Bacillus,1051,2578,0.407680372
Bacteroides,37,149,0.248322148
Bartonella,11,60,0.183333333
Bergeriella,1,1,1
Bifidobacterium,36,113,0.318584071
Bilophila,3,3,1
Blastopirellula,1,11,0.090909091
Blautia,7,40,0.175
Bordetella,14,23,0.608695652
Borrelia,7,144,0.048611111
Brachyspira,3,35,0.085714286
Brevibacillus,14,112,0.125
Brevibacterium,8,39,0.205128205
Brevundimonas,16,132,0.121212121
Brucella,97,120,0.808333333
Bulleidia,1,1,1
Burkholderia,80,326,0.245398773
Butyricimonas,2,3,0.666666667
Butyrivibrio,11,26,0.423076923
Campylobacter,59,118,0.5
Capnocytophaga,15,28,0.535714286
Cardiobacterium,2,3,0.666666667
Carnobacterium,1,15,0.066666667
Catenibacterium,6,7,0.857142857
Catonella,1,3,0.333333333
Cedecea,2,3,0.666666667
Cellulomonas,2,39,0.051282051
Centipeda,1,1,1
Cetobacterium,1,254,0.003937008
Chlamydia,1,3,0.333333333
Christensenella,1,3,0.333333333
Chromobacterium,4,24,0.166666667
Chryseobacterium,9,113,0.079646018
Citrobacter,12,27,0.444444444
Cloacibacterium,1,4,0.25
Clostridium,54,312,0.173076923
Collinsella,7,9,0.777777778
Comamonas,21,208,0.100961538
Coprobacillus,3,3,1
Coprococcus,4,14,0.285714286
Corynebacterium,158,289,0.546712803
Coxiella,2,11,0.181818182
Cronobacter,10,13,0.769230769
Cryptobacterium,1,1,1
Cupriavidus,12,151,0.079470199
Delftia,1,16,0.0625
Dermabacter,2,4,0.5
Desulfitobacterium,7,17,0.411764706
Desulfomicrobium,7,34,0.205882353
Desulfovibrio,9,236,0.038135593
Dialister,5,15,0.333333333
Dietzia,2,36,0.055555556
Dolosicoccus,1,1,1
Dolosigranulum,1,1,1
Dorea,2,6,0.333333333
Dysgonomonas,3,20,0.15
Edwardsiella,12,17,0.705882353
Eggerthella,3,3,1
Eggerthia,1,1,1
Ehrlichia,1,13,0.076923077
Eikenella,1,1,1
Elizabethkingia,16,17,0.941176471
Empedobacter,2,2,1
Enhydrobacter,3,4,0.75
Enterobacter,38,131,0.290076336
Enterococcus,206,462,0.445887446
Eremococcus,1,2,0.5
Erysipelothrix,16,26,0.615384615
Ewingella,2,6,0.333333333
Facklamia,3,10,0.3
Faecalibacterium,1,23,0.043478261
Fastidiosipila,1,5,0.2
Ferrimonas,2,7,0.285714286
Finegoldia,4,9,0.444444444
Flavonifractor,4,5,0.8
Francisella,13,35,0.371428571
Fusobacterium,12,77,0.155844156
Gardnerella,1,1,1
Gemella,5,315,0.015873016
Geobacillus,5,67,0.074626866
Gordonia,6,93,0.064516129
Gordonibacter,1,1,1
Granulibacter,1,1,1
Granulicatella,6,8,0.75
Grimontia,4,4,1
Haematobacter,3,29,0.103448276
Haemophilus,19,62,0.306451613
Hafnia,4,7,0.571428571
Halomonas,2,328,0.006097561
Helcococcus,1,3,0.333333333
Helicobacter,72,203,0.354679803
Herbaspirillum,5,38,0.131578947
Holdemania,1,1,1
Hyphomonas,3,17,0.176470588
Inquilinus,5,9,0.555555556
Isoptericola,1,11,0.090909091
Janibacter,4,15,0.266666667
Jonquetella,1,1,1
Kerstersia,2,3,0.666666667
Kingella,4,5,0.8
Klebsiella,15,29,0.517241379
Kluyvera,7,12,0.583333333
Kocuria,7,56,0.125
Kytococcus,2,3,0.666666667
