taxa,colors
028H05-P-BN-P5,#000000
028H05-P-BN-P5_or,#FFFF00
0319-6G20,#1CE6FF
0319-7L14,#FF34FF
053A03-B-DI-P58,#FF4A46
4-29_or,#008941
4-29-1_or,#006FA6
37010,#A30059
10bav-F6,#FFDBE5
10bav-F6_cl,#7A4900
10bav-F6_or,#0000A6
44216,#63FFAC
44524,#B79762
32-520,#004D43
113B434,#8FB0FF
211ds20,#997D87
1013-28-CG33,#5A0007
1226B1H1-22-FL,#809693
44315,#FEFFE6
661239,#1B4400
661256,#4FC601
661256_or,#3B5DFF
A10,#4A3B53
Abditibacteria,#FF2F80
Abditibacteriales,#61615A
Abditibacteriota,#BA0900
Absconditabacteriales_(SR1),#6B7900
ABY1,#00C2A0
ABY1_unclassified,#FFAA92
Acanthopleuribacterales,#FF90C9
Acetobacterales,#B903AA
Acetothermia,#D16100
Acetothermiia,#DDEFFF
Acetothermiia_or,#000035
Acholeplasmatales,#7B4F4B
Acidaminococcales,#A1C299
Acidiferrobacterales,#300018
Acidimicrobiales,#0AA6D8
Acidimicrobiia,#013349
Acidimicrobiia_unclassified,#00846F
Acidiprofundales,#372101
Acidithiobacillales,#FFB500
Acidobacteria,#C2FFED
Acidobacteria_unclassified,#A079BF
Acidobacteriae,#CC0744
Acidobacteriae_or,#C0B9B2
Acidobacteriales,#C2FF99
Acidobacteriia,#001E09
Acidobacteriota,#00489C
Acidobacteriota_cl,#6F0062
Acidobacteriota_or,#0CBD66
Acidobacteriota_unclassified,#EEC3FF
Actinobacteria,#456D75
Actinobacteria_or,#B77B68
Actinobacteria_unclassified,#7A87A1
Actinobacteriota,#788D66
Actinobacteriota_unclassified,#885578
Actinomarinales,#FAD09F
Actinomycetales,#FF8A9A
AD3,#D157A0
AD3_or,#BEC459
ADurb.Bin180,#456648
Aenigmarchaeales,#0086ED
Aenigmarchaeia,#886F4C
Aenigmarchaeota,#34362D
Aeromonadales,#B4A8BD
Aerophobales,#00A6AA
Aerophobia,#452C2C
Aerophobota,#636375
AKAU4049,#A3C8C9
AKAU4049_or,#FF913F
AKIW659,#938A81
Alicyclobacillales,#575329
Alphaproteobacteria,#00FECF
Alphaproteobacteria_Incertae_Sedis,#B05B6F
Alphaproteobacteria_or,#8CD0FF
Alphaproteobacteria_unclassified,#3B9700
Alteromonadales,#04F757
Altiarchaeales,#C8A1A1
Altiarchaeia,#1E6E00
Altiarchaeia_or,#7900D7
Altiarchaeota,#A77500
Aminicenantales,#6367A9
Aminicenantia,#A05837
Ammonifexales,#6B002C
Amsterdam-1B-07,#772600
Anaerolineae,#D790FF
Anaerolineae_or,#9B9700
Anaerolineae_unclassified,#549E79
Anaerolineales,#FFF69F
AncK6,#201625
AncK6_cl,#72418F
AncK6_or,#BC23FF
Aneurinibacillales,#99ADC0
ANME-1,#3A2465
ANME-1_or,#922329
ANME-1a,#5B4534
ANME-1b,#FDE8DC
Aquificae,#404E55
Aquificales,#0089A3
Aquificota,#CB7E98
Archaea_unclassified,#A4E804
Archaeoglobales,#324E72
Archaeoglobi,#6A3A4C
Arctic97B-4_marine_group,#83AB58
Ardenticatenales,#001C1E
Arenicellales,#D1F7CE
Armatimonadales,#004B28
Armatimonadetes,#C8D0F6
Armatimonadetes_unclassified,#A3A489
Armatimonadia,#806C66
Armatimonadota,#222800
Armatimonadota_unclassified,#BF5650
Asgardaeota,#E83000
Asgardarchaeota,#66796D
Asgardarchaeota_cl,#DA007C
Asgardarchaeota_or,#FF1A59
AT-s2-59,#8ADBB4
AT-s3-28,#1E0200
AT-s3-28_or,#5B4E51
AT-s3-44,#C895C5
AT-s16,#320033
Azospirillales,#FF6832
B2M28,#66E1D3
B10-SB3A,#CFCDAC
B12-WMSP1,#D0AC94
B29,#7ED379
B55-F-B-G02,#012C58
B103G10,#7A7BFF
B108,#D68E01
Babeliae,#353339
Babeliales,#78AFA1
Bacillales,#FEB2C6
Bacilli,#75797C
Bacteria_cl,#837393
Bacteria_or,#943A4D
Bacteria_ph,#B5F4FF
Bacteria_unclassified,#D2DCD5
bacteriap25,#9556BD
bacteriap25_or,#6A714A
Bacteriovoracales,#001325
Bacteroidales,#02525F
Bacteroidetes,#0AA3F7
Bacteroidetes_unclassified,#E98176
Bacteroidetes_VC2.1_Bac22,#DBD5DD
Bacteroidia,#5EBCD1
Bacteroidia_unclassified,#3D4F44
Bacteroidota,#7E6405
Bacteroidota_unclassified,#02684E
Balneolales,#962B75
Bathyarchaeia,#8D8546
Bathyarchaeia_or,#9695C5
BD2-11_terrestrial_group,#E773CE
BD2-11_terrestrial_group_or,#D86A78
BD7-8,#3E89BE
BD7-11,#CA834E
BD7-11_or,#518A87
BD72BR169,#5B113C
Bdellovibrionales,#55813B
Bdellovibrionia,#E704C4
Bdellovibrionota,#00005F
Beggiatoales,#A97399
Berkelbacteria,#4B8160
Berkelbacteria_or,#59738A
Betaproteobacteriales,#FF5DA7
BHI80-139,#F7C9BF
