Genus,nitrification,anammox,denitrification,nitrogen_fixation,nitrate_reduction,S_reduction,S_oxidation,anoxygenic_photo_S_oxidation,dual_N_S_cycling
A2,0,0,0,0,0,0,1,0,0
Achromobacter,0,0,1,0,1,0,0,0,0
Acidianus,0,0,0,0,0,1,1,0,0
Acidicaldus,0,0,0,0,0,0,1,0,0
Acidimicrobium,0,0,0,0,0,0,1,0,0
Acidiphilium,0,0,0,0,0,0,1,0,0
Acidithiobacillus,0,0,0,0,0,0,1,0,0
Acidovorax,0,0,1,0,1,0,0,0,0
Acinetobacter,0,0,0,0,1,0,1,0,0
Acrocarpospora,0,0,0,0,0,0,0,0,0
Actinobacillus,0,0,0,0,0,0,0,0,0
Actinocatenispora,0,0,0,0,0,0,0,0,0
Actinocorallia,0,0,0,0,0,0,0,0,0
Actinomadura,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,0
Actinoplanes,0,0,0,0,0,0,0,0,0
Actinopolymorpha,0,0,0,0,0,0,0,0,0
Actinosynnema,0,0,0,0,0,0,0,0,0
Actinotalea,0,0,0,0,0,0,0,0,0
Aeromicrobium,0,0,0,0,0,0,0,0,0
Aeromonas,0,0,0,0,1,0,0,0,0
Aestuariimicrobium,0,0,0,0,0,0,0,0,0
Afipia,0,0,0,0,0,0,0,0,0
Agarilytica,0,0,0,0,0,0,0,0,0
Agarivorans,0,0,0,0,0,0,0,0,0
Agromyces,0,0,0,0,0,0,0,0,0
Albibacter,0,0,0,0,0,0,0,0,0
Alcaligenes,0,0,1,0,1,0,1,0,0
Algicola,0,0,0,0,0,0,0,0,0
Alicycliphilus,0,0,0,0,1,0,0,0,0
Alicyclobacillus,0,0,0,0,0,0,1,0,0
Aliivibrio,0,0,0,0,0,0,0,0,0
Alishewanella,0,0,0,0,1,1,0,0,1
Alkalibacillus,0,0,0,0,0,0,0,0,0
Alkaliphilus,0,0,0,0,0,1,0,0,1
Allochromatium,0,0,0,1,0,0,1,1,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0,0,1,1,0,0,0,0
Aminobacter,0,0,0,0,0,0,0,0,0
Ammonifex,0,0,0,0,1,1,0,0,1
Amorphus,0,0,0,0,0,0,0,0,0
Amycolatopsis,0,0,0,0,0,0,0,0,0
Anabaena_BECID22,0,0,0,1,0,0,0,0,0
Anabaena_BECID23,0,0,0,1,0,0,0,0,0
Anabaena_BECID24,0,0,0,1,0,0,0,0,0
Anaerobacillus,0,0,0,1,0,0,0,0,0
Anaerobacter,0,0,0,1,0,0,0,0,0
Anaeromyxobacter,0,0,0,0,1,0,0,0,0
Anaerostipes,0,0,0,0,0,0,0,0,0
Ancylobacter,0,0,0,0,0,0,1,0,0
Aneurinibacillus,0,0,0,0,0,0,0,0,0
ANME-2c_ge,0,0,0,0,1,0,0,0,0
Anoxybacillus,0,0,0,0,1,0,0,0,0
Antarctobacter,0,0,0,0,0,0,0,0,0
Aquabacter,0,0,0,0,0,0,0,0,0
Aquabacterium,0,0,0,0,1,0,0,0,0
Aquamicrobium,0,0,0,0,1,0,0,0,0
Aquaspirillum,0,0,1,0,1,0,0,0,0
Aquibacter,0,0,0,0,0,0,0,0,0
Aquifex,0,0,1,0,1,0,1,0,0
Aquiflexum,0,0,0,0,0,0,0,0,0
Aquimarina,0,0,0,0,0,0,0,0,0
Aquipuribacter,0,0,0,0,0,0,0,0,0
Aquitalea,0,0,1,0,1,0,0,0,0
Arcanobacterium,0,0,0,0,0,0,0,0,0
Archaeoglobus,0,0,0,0,0,1,0,0,0
Arcicella,0,0,0,0,0,0,0,0,0
Arcobacter,0,0,1,1,1,0,1,0,0
Ardenticatena,0,0,0,0,1,0,0,0,0
Arenibacter,0,0,0,0,0,0,0,0,0
Arenimonas,0,0,0,0,0,0,0,0,0
Arhodomonas,0,0,0,0,1,0,0,0,0
Arsenicicoccus,0,0,0,0,0,0,0,0,0
Arsenophonus,0,0,0,0,0,0,0,0,0
Arthrobacter,0,0,0,0,1,0,0,0,0
Aurantimonas,0,0,0,0,0,0,0,0,0
Azoarcus,0,0,1,1,1,0,1,0,0
Azospira,0,0,0,1,1,0,0,0,0
Azospirillum,0,0,1,1,1,0,0,0,0
Azotobacter,0,0,0,1,0,0,0,0,0
Azovibrio,0,0,0,1,0,0,0,0,0
Bacillus,0,0,1,0,1,1,1,0,1
Bacteriovorax,0,0,0,0,0,0,0,0,0
Bacteroides,0,0,0,0,0,0,0,0,0
Balneatrix,0,0,0,0,0,0,0,0,0
Beggiatoa,0,0,0,1,0,0,1,0,0
Beijerinckia,0,0,0,1,0,0,0,0,0
Belliella,0,0,0,0,0,0,0,0,0
Beutenbergia,0,0,0,0,0,0,0,0,0
Bhargavaea,0,0,0,0,0,0,0,0,0
Bifidobacterium,0,0,0,0,0,0,0,0,0
Bilophila,0,0,0,0,1,0,0,0,0
Bizionia,0,0,0,0,0,0,0,0,0
Blastochloris,0,0,0,0,0,0,0,1,0
Blattabacterium,0,0,0,0,0,0,0,0,0
Bordetella,0,0,0,0,0,0,0,0,0
Bosea,0,0,0,0,0,0,1,0,0
Brachybacterium,0,0,0,0,0,0,0,0,0
Brachymonas,0,0,1,0,1,0,0,0,0
Bradyrhizobium,0,0,1,1,1,0,0,0,0
Brenneria,0,0,0,0,0,0,0,0,0
Brevibacillus,0,0,0,0,0,0,0,0,0
Brevibacterium,0,0,0,0,0,0,0,0,0
Brucella,0,0,0,0,1,0,0,0,0
Brumimicrobium,0,0,0,0,0,0,0,0,0
Buchnera,0,0,0,0,0,0,0,0,0
Budvicia,0,0,0,0,0,0,0,0,0
Burkholderia-Caballeronia-Paraburkholderia,1,0,0,1,1,0,1,0,0
Buttiauxella,0,0,0,0,0,0,0,0,0
Caldanaerobacter,0,0,0,0,0,1,0,0,0
Caldimicrobium,0,0,0,0,0,1,0,0,0
Calditerrivibrio,0,0,0,0,1,0,0,0,0
Caldithrix,0,0,0,0,1,0,0,0,0
Caldivirga,0,0,0,0,0,1,0,0,0
Caminibacter,0,0,0,0,1,1,0,0,1
Campylobacter,0,0,0,0,1,1,0,0,1
Candidatus_Anammoximicrobium,0,1,0,0,0,0,0,0,0
Candidatus_Brocadia,0,1,0,0,0,0,0,0,0
Candidatus_Caldiarchaeum,1,0,0,0,0,0,0,0,0
Candidatus_Jettenia,0,1,0,0,0,0,0,0,0
Candidatus_Kuenenia,0,1,0,0,0,0,0,0,0
Candidatus_Methanoperedens,0,0,0,0,1,0,0,0,0
Candidatus_Methylacidiphilum,0,0,0,1,0,0,0,0,0
Candidatus_Methylomirabilis,0,0,1,0,0,0,0,0,0
Candidatus_Nitrosocaldus,1,0,0,0,0,0,0,0,0
Candidatus_Nitrosopelagicus,1,0,0,0,0,0,0,0,0
Candidatus_Nitrosopumilus,1,0,0,0,0,0,0,0,0
Candidatus_Nitrososphaera,1,0,0,0,0,0,0,0,0
Candidatus_Nitrosotalea,1,0,0,0,0,0,0,0,0
Candidatus_Nitrosotenuis,1,0,0,0,0,0,0,0,0
Candidatus_Nitrotoga,1,0,0,0,0,0,0,0,0
Candidatus_Thiobios,0,0,0,0,0,0,1,0,0
Candidatus_Thioglobus,0,0,0,0,0,0,1,0,0
Carboxydothermus,0,0,0,0,1,1,1,0,1
Catenococcus,0,0,0,0,0,0,1,0,0
Catenulispora,0,0,0,0,0,0,0,0,0
Catenuloplanes,0,0,0,0,0,0,0,0,0
Cedecea,0,0,0,0,0,0,0,0,0
Celeribacter,0,0,0,0,1,0,0,0,0
Cellulomonas,0,0,0,0,0,0,0,0,0
Cellulophaga,0,0,0,0,0,0,0,0,0
Cellulosimicrobium,0,0,0,0,0,0,0,0,0
Cellvibrio,0,0,0,1,0,0,0,0,0
Cenarchaeum,1,0,0,0,0,0,0,0,0
Centipeda,0,0,0,0,0,0,0,0,0
Cetobacterium,0,0,0,0,0,0,0,0,0
Chitinophaga,0,0,0,0,0,0,0,0,0
Chlorobaculum,0,0,0,0,0,0,1,1,0
Chlorobium,0,0,0,1,0,0,0,1,0
Chloroflexus,0,0,0,0,0,0,0,1,0
Chloroherpeton,0,0,0,0,0,0,0,1,0
Chromatium,0,0,0,0,0,0,0,1,0
Chromobacterium,0,0,0,0,0,0,0,0,0
Chromohalobacter,0,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,0,0,0,0,0,0,0
