Genus,Metabolism,Silvatax_Genus,S_reduction,S_oxidation_dark,anoxygenic_photoautotrophy_S_oxidizing
Desulfurococcus,S_Reduction,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus,1,0,0
Ignicoccus,S_Reduction,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignicoccaceae;Ignicoccus,1,0,0
Pyrodictium,S_Reduction,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium,1,0,0
Acidianus,S_Reduction_S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus,1,1,0
Metallosphaera,S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera,0,1,0
Saccharolobus,S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Saccharolobus,0,1,0
Stygiolobus,S_Reduction_S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Stygiolobus,1,1,0
Sulfolobus,S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus,0,1,0
Sulfurisphaera,S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera,0,1,0
uncultured,S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;uncultured,0,1,0
Caldivirga,S_Reduction,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga,1,0,0
Pyrobaculum,S_Reduction_S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum,1,1,0
Thermocladium,S_Reduction_S_Oxidation,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium,1,1,0
Pyrococcus,S_Reduction,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus,1,0,0
Thermococcus,S_Reduction,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus,1,0,0
Archaeoglobus,S_Reduction,Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,1,0,0
Ferroglobus,S_Reduction_S_Oxidation,Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus,1,1,0
Methanosarcina,S_Reduction,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina,1,0,0
Thermoplasma,S_Reduction,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma,1,0,0
Acidimicrobium,S_Oxidation,Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium,0,1,0
Aquifex,S_Oxidation,Bacteria;Aquificota;Aquificae;Aquificales;Aquificaceae;Aquifex,0,1,0
Hydrogenobacter,S_Oxidation,Bacteria;Aquificota;Aquificae;Aquificales;Aquificaceae;Hydrogenobacter,0,1,0
Sulfurihydrogenibium,S_Reduction_S_Oxidation,Bacteria;Aquificota;Aquificae;Hydrogenothermales;Hydrogenothermaceae;Sulfurihydrogenibium,1,1,0
Desulfurobacterium,S_Reduction,Bacteria;Aquificota;Desulfurobacteriia;Desulfurobacteriales;Desulfurobacteriaceae;Desulfurobacterium,1,0,0
Thermovibrio,S_Reduction,Bacteria;Aquificota;Desulfurobacteriia;Desulfurobacteriales;Desulfurobacteriaceae;Thermovibrio,1,0,0
