Genus,Metabolism,Silvatax,methanotrophy,acetoclastic_methanogenesis,methanogenesis_by_disproportionation_of_methyl_groups,methanogenesis_using_formate,methanogenesis_by_CO2_reduction_with_H2,methanogenesis_by_reduction_of_methyl_compounds_with_H2,hydrogenotrophic_methanogenesis,methanogenesis,methanol_oxidation,methylotrophy,CH4_cyclicers
Acetobacter,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter,0,0,0,0,0,0,0,0,1,0,1
Acidicaldus,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidicaldus,0,0,0,0,0,0,0,0,1,0,1
Alkalibaculum,Other C-1 cycler,Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_fa;Alkalibaculum,0,0,0,0,0,0,0,0,1,0,1
ANME-2c_ge,Methanotroph,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;ANME-2c;ANME-2c_ge,1,0,0,0,0,0,0,0,0,0,1
Anoxybacillus,Methanotroph,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus,1,0,0,0,0,0,0,0,0,0,1
Arthrobacter,Other C-1 cycler,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter,0,0,0,0,0,0,0,0,1,0,1
Bacillus,Methanotroph,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,0,0,0,0,0,0,0,1,0,1
Bauldia,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia,0,0,0,0,0,0,0,0,1,0,1
Bradyrhizobium,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium,0,0,0,0,0,0,0,0,1,0,1
Brevibacterium,Other C-1 cycler,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium,0,0,0,0,0,0,0,0,1,0,1
Candidatus_Methanogranum,Methanogen,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus_Methanogranum,0,0,0,0,0,1,1,1,0,0,1
Candidatus_Methanomethylophilus,Methanogen,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus_Methanomethylophilus,0,0,0,0,0,0,0,1,0,1,1
Candidatus_Methanoperedens,Methanotroph,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanoperedenaceae;Candidatus_Methanoperedens,1,0,0,0,0,0,0,0,0,0,1
Candidatus_Methanoplasma,Methanogen,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus_Methanoplasma,0,0,0,0,0,1,1,1,0,0,1
Candidatus_Methylacidiphilum,Methanotroph,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Methylacidiphilales;Methylacidiphilaceae;Candidatus_Methylacidiphilum,1,0,0,0,0,0,0,0,0,0,1
Candidatus_Methylomirabilis,Methanotroph,Bacteria;Methylomirabilota;Methylomirabilia;Methylomirabilales;Methylomirabilaceae;Candidatus_Methylomirabilis,1,0,0,0,0,0,0,0,0,0,1
Crenothrix,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix,1,0,0,0,0,0,0,0,0,0,1
