get,Taxa
1,028H05-P-BN-P5
2,028H05-P-BN-P5_or
3,0319-6G20
4,0319-7L14
5,053A03-B-DI-P58
6,4-29_or
7,4-29-1_or
8,37010
9,10bav-F6
10,10bav-F6_cl
11,10bav-F6_or
12,44216
13,44524
14,32-520
15,113B434
16,211ds20
17,1013-28-CG33
18,1226B1H1-22-FL
19,37010
20,44216
21,44315
22,44524
23,661239
24,661256
25,661256_or
26,A10
27,Abditibacteria
28,Abditibacteriales
29,Abditibacteriota
30,Absconditabacteriales_(SR1)
31,ABY1
32,ABY1_unclassified
33,Acanthopleuribacterales
34,Acetobacterales
35,Acetothermia
36,Acetothermiia
37,Acetothermiia_or
38,Acholeplasmatales
39,Acidaminococcales
40,Acidiferrobacterales
41,Acidimicrobiales
42,Acidimicrobiia
43,Acidimicrobiia_unclassified
44,Acidiprofundales
45,Acidithiobacillales
46,Acidobacteria
47,Acidobacteria_unclassified
48,Acidobacteriae
49,Acidobacteriae_or
50,Acidobacteriales
51,Acidobacteriia
52,Acidobacteriota
53,Acidobacteriota_cl
54,Acidobacteriota_or
55,Acidobacteriota_unclassified
56,Actinobacteria
57,Actinobacteria_or
58,Actinobacteria_unclassified
59,Actinobacteriota
60,Actinobacteriota_unclassified
61,Actinomarinales
62,Actinomycetales
63,AD3
64,AD3_or
65,ADurb.Bin180
66,Aenigmarchaeales
67,Aenigmarchaeia
68,Aenigmarchaeota
69,Aeromonadales
70,Aerophobales
71,Aerophobia
72,Aerophobota
73,AKAU4049
74,AKAU4049_or
75,AKIW659
76,Alicyclobacillales
77,Alphaproteobacteria
78,Alphaproteobacteria_Incertae_Sedis
79,Alphaproteobacteria_or
80,Alphaproteobacteria_unclassified
81,Alteromonadales
82,Altiarchaeales
83,Altiarchaeia
84,Altiarchaeia_or
85,Altiarchaeota
86,Aminicenantales
87,Aminicenantia
88,Ammonifexales
89,Amsterdam-1B-07
90,Anaerolineae
91,Anaerolineae_or
92,Anaerolineae_unclassified
93,Anaerolineales
94,AncK6
95,AncK6_cl
96,AncK6_or
97,Aneurinibacillales
98,ANME-1
99,ANME-1_or
100,ANME-1a
101,ANME-1b
102,Aquificae
103,Aquificales
104,Aquificota
105,Archaea_unclassified
106,Archaeoglobales
107,Archaeoglobi
108,Arctic97B-4_marine_group
109,Ardenticatenales
110,Arenicellales
111,Armatimonadales
112,Armatimonadetes
113,Armatimonadetes_unclassified
114,Armatimonadia
115,Armatimonadota
116,Armatimonadota_unclassified
117,Asgardaeota
118,Asgardarchaeota
119,Asgardarchaeota_cl
120,Asgardarchaeota_or
121,AT-s2-59
122,AT-s3-28
123,AT-s3-28_or
124,AT-s3-44
125,AT-s16
126,Azospirillales
127,B2M28
128,B10-SB3A
129,B12-WMSP1
130,B29
131,B55-F-B-G02
132,B103G10
133,B108
134,Babeliae
135,Babeliales
136,Bacillales
137,Bacilli
138,Bacteria_cl
139,Bacteria_or
140,Bacteria_ph
141,Bacteria_unclassified
142,bacteriap25
143,bacteriap25_or
144,Bacteriovoracales
145,Bacteroidales
146,Bacteroidetes
147,Bacteroidetes_unclassified
148,Bacteroidetes_VC2.1_Bac22
149,Bacteroidia
150,Bacteroidia_unclassified
151,Bacteroidota
152,Bacteroidota_unclassified
153,Balneolales
154,Bathyarchaeia
155,Bathyarchaeia_or
156,BD2-11_terrestrial_group
157,BD2-11_terrestrial_group_or
158,BD7-8
159,BD7-11
160,BD7-11_or
161,BD72BR169
162,Bdellovibrionales
163,Bdellovibrionia
164,Bdellovibrionota
165,Beggiatoales
166,Berkelbacteria
167,Berkelbacteria_or
168,Betaproteobacteriales
169,BHI80-139
170,BHI80-139_cl
171,BHI80-139_or
172,Bifidobacteriales
173,Blastocatellales
174,Blastocatellia
175,Blastocatellia_(Subgroup_4)
176,Blfdi19
177,BMS9AB35
178,BMS9AB35_or
179,Brachyspirae
180,Brachyspirales
181,Bradymonadales
182,BRC1
183,BRC1_cl
184,BRC1_or
185,Brevibacillales
186,Brevinematales
187,Brevinematia
188,BRH-c20a
189,BRH-c20a_or
190,Brocadiae
191,Brocadiales
192,Bryobacterales
193,BSLdp215
194,Burkholderiales
195,c5LKS83
196,c5LKS83_or
197,C0119
198,C10-SB1A
199,C86
200,Caedibacterales
201,Caenarcaniphilales
202,Caldatribacteriales
203,Caldatribacteriia
204,Caldatribacteriota
205,Calderihabitantales
206,Caldiarchaeales
207,Caldicellulosiruptorales
208,Caldicoprobacterales
209,Caldilineales
210,Caldisericales
211,Caldisericia
212,Caldisericota
213,Calditrichaeota
214,Calditrichales
215,Calditrichia
216,Calditrichota
217,Calescamantes
218,Calescibacteriales
219,Calescibacteriia
220,Campylobacterales
221,Campylobacteria
222,Campylobacterota
223,Candidatus_Abawacabacteria
224,Candidatus_Adlerbacteria
225,Candidatus_Amesbacteria
226,Candidatus_Azambacteria
227,Candidatus_Beckwithbacteria
228,Candidatus_Brennerbacteria
229,Candidatus_Buchananbacteria
230,Candidatus_Campbellbacteria
231,Candidatus_Chisholmbacteria
232,Candidatus_Collierbacteria
233,Candidatus_Colwellbacteria
234,Candidatus_Curtissbacteria
235,Candidatus_Daviesbacteria
236,Candidatus_Doudnabacteria
237,Candidatus_Falkowbacteria
238,Candidatus_Giovannonibacteria
239,Candidatus_Gottesmanbacteria
240,Candidatus_Jacksonbacteria
241,Candidatus_Jorgensenbacteria
242,Candidatus_Kaiserbacteria
243,Candidatus_Kerfeldbacteria
244,Candidatus_Komeilibacteria
245,Candidatus_Kuenenbacteria
246,Candidatus_Levybacteria
247,Candidatus_Liptonbacteria
248,Candidatus_Lloydbacteria
249,Candidatus_Magasanikbacteria
250,Candidatus_Moranbacteria
251,Candidatus_Nealsonbacteria
252,Candidatus_Nomurabacteria
253,Candidatus_Pacebacteria
254,Candidatus_Peregrinibacteria
255,Candidatus_Peribacteria
256,Candidatus_Portnoybacteria
257,Candidatus_Roizmanbacteria
258,Candidatus_Ryanbacteria
259,Candidatus_Shapirobacteria
260,Candidatus_Spechtbacteria
261,Candidatus_Staskawiczbacteria
262,Candidatus_Terrybacteria
263,Candidatus_Uhrbacteria
264,Candidatus_Vogelbacteria
265,Candidatus_Woesebacteria
266,Candidatus_Wolfebacteria
267,Candidatus_Woykebacteria
268,Candidatus_Yanofskybacteria
269,Candidatus_Yonathbacteria
270,Candidatus_Zambryskibacteria
271,Carboxydocellales
272,Carboxydothermales
273,Cardiobacteriales
274,Catenulisporales
275,Caulobacterales
276,CCD24
277,CCM11a
278,CCM19a
279,Cellvibrionales
280,CG1-02-42-13
281,CG2-30-50-142
282,CH2b56
283,CHAB-XI-27
284,Chitinivibrionales
285,Chitinivibrionia
286,Chitinophagales
287,Chlamydiae
288,Chlamydiales
289,Chloracidobacteriales
290,Chlorobia
291,Chlorobiales
292,Chloroflexales
293,Chloroflexi
294,Chloroflexi_cl
295,Chloroflexi_or
296,Chloroflexi_unclassified
297,Chloroflexia
298,Chloroflexia_unclassified
299,Chloroplast
300,Christensenellales
301,Chromatiales
302,Chrysiogenales
303,Chrysiogenetes
304,Chrysiogenetota
305,Chthoniobacterales
306,Chthonomonadales
307,Chthonomonadetes
308,CK-2C2-2
309,CK-2C2-2_cl
310,CK-2C2-2_or
311,Cloacimonadales
312,Cloacimonadia
313,Cloacimonadota
314,Clostridia
315,Clostridia_Incertae_Sedis
316,Clostridia_or
317,Clostridia_UCG-014
318,Clostridia_vadinBB60_group
319,Clostridiales
320,Competibacterales
321,Coprothermobacterales
322,Coprothermobacteria
323,Coprothermobacterota
324,Coriobacteriales
325,Coriobacteriia
326,Corynebacteriales
327,Coxiellales
328,CPR2
329,CPR2_or
330,Crenarchaeota
331,Crenarchaeota_unclassified
332,Cyanobacteria
333,Cyanobacteria_unclassified
334,Cyanobacteriales
335,Cyanobacteriia
336,Cyanobacteriia_or
337,Cytophagales
338,d142
339,d142_or
340,D8A-2
341,D8A-2_or
342,D90
343,Dadabacteria
344,Dadabacteriales
345,Dadabacteriia
346,Deep_Sea_Euryarchaeotic_Group(DSEG)
347,Deep_Sea_Euryarchaeotic_Group(DSEG)_or
348,Deferribacterales
349,Deferribacteres
350,Deferribacterota
351,Deferrisomatota
352,Defferrisomatales
353,Defferrisomatia
354,Defluviicoccales
355,Dehalococcoidales
356,Dehalococcoidia
357,Dehalococcoidia_or
358,Dehalococcoidia_unclassified
359,Deinococcales
360,Deinococci
361,Deinococci_unclassified
362,Deinococcota
363,Deinococcus-Thermus
364,Deltaproteobacteria
365,Deltaproteobacteria_Incertae_Sedis
366,Deltaproteobacteria_unclassified
367,Dependentiae
368,Desantisbacteria
369,Desantisbacteria_cl
370,Desantisbacteria_or
371,Desulfarculales
372,Desulfarculia
373,Desulfatiglandales
374,Desulfitibacterales
375,Desulfitobacteriales
376,Desulfitobacteriia
377,Desulfobaccales
378,Desulfobaccia
379,Desulfobacterales
380,Desulfobacteria
381,Desulfobacterota
382,Desulfobacterota_unclassified
383,Desulfobulbales
384,Desulfobulbia
385,Desulfofervidales
386,Desulfofervidia
387,Desulfomonilales
388,Desulfomonilia
389,Desulfotomaculales
390,Desulfotomaculia
391,Desulfovibrionales
392,Desulfovibrionia
393,Desulfurellales
394,Desulfurellia
395,Desulfuribacillales
396,Desulfurobacteriales
397,Desulfurobacteriia
398,Desulfurococcales
399,Desulfuromonadales
400,Desulfuromonadia
401,Desulfuromonadia_or
402,Dethiobacterales
403,Dethiobacteria
404,DG-20
405,DG-56
406,DG-56_or
407,Diapherotrites
408,Dictyoglomales
409,Dictyoglomia
410,Dictyoglomota
411,Diplorickettsiales
412,Dissulfuribacterales
413,Dissulfuribacteria
414,Dojkabacteria
415,Dojkabacteria_or
416,Dongiales
417,DS-100
418,DscP2
419,Dstr-E11
420,DTB120
421,DTB120_cl
422,DTB120_or
423,DTU014
424,EC3
425,Ectothiorhodospirales
426,Edwardsbacteria
427,Edwardsbacteria_cl
428,Edwardsbacteria_or
429,Elev-16S-1166
430,Elev-1554
431,Elsterales
432,Elusimicrobia
433,Elusimicrobia_unclassified
434,Elusimicrobiales
435,Elusimicrobiota
436,Elusimicrobiota_cl
437,Elusimicrobiota_or
438,Elusimicrobiota_unclassified
439,Emcibacterales
440,Endomicrobia
441,Endomicrobiales
442,Enterobacterales
443,Enterobacteriales
444,Entomoplasmatales
445,Entotheonellaeota
446,Entotheonellales
447,Entotheonellia
448,EPR3968-O8a-Bc78
449,Epsilonbacteraeota
450,ER-E4-17
451,Erysipelotrichales
452,eub62A3
453,Eubacteriales
454,Eukaryota_unclassified
455,Euryarchaeota
456,Euryarchaeota_unclassified
457,Eurycoccales
458,Euzebyales
459,EV818SWSAP88
460,Exiguobacterales
461,F9P41300-M23
462,FBP
463,FBP_cl
464,FBP_or
465,FCPU426
466,FCPU426_cl
467,FCPU426_or
468,Fermentibacterales
469,Fermentibacteria
470,Fermentibacterota
471,Ferrovibrionales
472,Fervidibacteria
473,Fervidibacteria_cl
474,Fervidibacteria_or
475,Fervidicoccales
476,FFCH5909
477,FFCH5909_or
478,FFCH16263
479,FFCH16767
480,FGL7S
481,Fibrobacterales
482,Fibrobacteres
483,Fibrobacteria
484,Fibrobacterota
485,Fimbriimonadales
486,Fimbriimonadia
487,Firestonebacteria
488,Firestonebacteria_cl
489,Firestonebacteria_or
490,Firmicutes
491,Firmicutes_unclassified
492,Flavobacteriales
493,Francisellales
494,Frankiales
495,FS117-23B-02
496,FS118-23B-02
497,Fusobacteria
498,Fusobacteriales
499,Fusobacteriia
500,Fusobacteriota
501,FW22
502,FW113
503,FW113_cl
504,FW113_or
505,Ga0077536
506,Gaiellales
507,GAL15
508,GAL15_cl
509,GAL15_or
510,Gammaproteobacteria
511,Gammaproteobacteria_Incertae_Sedis
512,Gammaproteobacteria_or
513,Gammaproteobacteria_unclassified
514,Gastranaerophilales
515,Geitlerinematales
516,Gemmatales
517,Gemmatimonadales
518,Gemmatimonadetes
519,Gemmatimonadota
520,Gemmatimonadota_unclassified
521,Geoarchaeales
522,Geobacterales
523,GIF3
524,GIF9
525,Gitt-GS-136
526,Gitt-GS-136_or
527,Gloeobacterales
528,Glycomycetales
529,GN01
530,GN01_cl
531,GN01_or
532,GOUTB8
533,Gracilibacteria
534,Gracilibacteria_or
535,Gracilibacteria_unclassified
536,Granulosicoccales
537,Group_1.1c
538,Group_1.1c_or
539,GW2011-GWA2-46-7
540,GWA2-38-13b
541,GWB1-42-6
542,H3.93
543,Hadarchaeia
544,Hadarchaeia_or
545,Hadarchaeota
546,Hadesarchaeaeota
547,Hadesarchaeaeota_cl
548,Hadesarchaeaeota_or
549,Halanaerobiaeota
550,Halanaerobiales
551,Halanaerobiia
552,Haliangiales
553,Halobacterales
554,Halobacteria
555,Halobacteriales
556,Halobacterota
557,Haloplasmatales
558,Halothiobacillales
559,HDB-SIOI1093
560,HDB-SIOI1093_or
561,Heimdallarchaeia
562,Heimdallarchaeia_or
563,HgCo23
564,HglApr721
565,HOC36
566,Holophagae
567,Holophagales
568,Holosporales
569,Hydrogenedentes
570,Hydrogenedentia
571,Hydrogenedentiales
572,Hydrogenothermales
573,Hydrothermae
574,Hydrothermae_cl
575,Hydrothermae_or
576,Hydrothermarchaeales
577,Hydrothermarchaeia
578,Hydrothermarchaeota
579,Hydrothermarchaeota_cl
580,Hydrothermarchaeota_or
581,I3A
582,Iainarchaeales
583,Iainarchaeia
584,Iainarchaeota
585,Ignavibacteria
586,Ignavibacteriales
587,IMCC26256
588,Immundisolibacterales
589,Incertae_Sedis
590,Incertae_Sedis_or
591,Isosphaerales
592,Izemoplasmatales
593,JdFR-43
594,JdFR-54
595,JG30-KF-CM66
596,JG30-KF-CM66_or
597,JG36-GS-52
598,JG36-TzT-191
599,JGI_0000069-P22
600,JS1
601,JS1_or
602,JTB23
603,Kallotenuales
604,Kapabacteria
605,Kapabacteriales
606,Kazania
607,Kazania_or
608,KD4-96
609,KD4-96_or
610,KF-JG30-C25
611,KI89A_clade
612,Kiloniellales
613,Kineosporiales
614,Kiritimatiellae
615,Kiritimatiellaeota
616,Kiritimatiellales
617,KIST-JJY010
618,Korarchaeales
619,Korarchaeia
620,Korarchaeota
621,Kordiimonadales
622,Kosmotogales
623,Kryptonia
624,Kryptoniales
625,Ktedonobacterales
626,Ktedonobacteria
627,Ktedonobacteria_or
628,Kyrpidiales
629,KZNMV-5-B42
630,Lachnospirales
631,Lactobacillales
632,Latescibacterales
633,Latescibacteria
634,Latescibacteria_cl
635,Latescibacteria_or
636,Latescibacterota
637,Latescibacterota_cl
638,Latescibacterota_or
639,LCP-89
640,LCP-89_cl
641,LCP-89_or
642,LD1-PA32
643,LD1-PB3
644,Legionellales
645,Lentisphaerae
646,Lentisphaerae_unclassified
647,Lentisphaerales
648,Lentisphaeria
649,Leptolyngbyales
650,Leptospirae
651,Leptospirales
