,taxa,colors
0,028H05-P-BN-P5,#45cc65
1,028H05-P-BN-P5_or,#8e3ebc
2,0319-6G20,#62ba3f
3,0319-7L14,#9164dc
4,053A03-B-DI-P58,#a75355
5,4-29_or,#91ba33
6,4-29-1_or,#cd74e5
7,37010,#33a150
8,10bav-F6,#b8319c
9,10bav-F6_cl,#4dcc90
10,10bav-F6_or,#e75dc1
11,44216,#538d2a
12,44524,#586cd8
13,32-520,#dca831
14,113B434,#9049a2
15,211ds20,#b2b33a
16,1013-28-CG33,#d57ccb
17,1226B1H1-22-FL,#80bc6c
18,44315,#e54486
19,661239,#4fcfc3
20,661256,#df4b40
21,661256_or,#4db9df
22,A10,#de632b
23,Abditibacteria,#5e91d3
24,Abditibacteriales,#d68330
25,Abditibacteriota,#4363a5
26,Absconditabacteriales_(SR1),#9c8026
27,ABY1,#ae99e4
28,ABY1_unclassified,#60751c
29,Acanthopleuribacterales,#7961a8
30,Acetobacterales,#3d864a
31,Acetothermia,#af3a77
32,Acetothermiia,#66b78b
33,Acetothermiia_or,#c3364e
34,Acholeplasmatales,#2ba198
35,Acidaminococcales,#aa4b28
36,Acidiferrobacterales,#35896b
37,Acidimicrobiales,#e2798a
38,Acidimicrobiia,#1a6447
39,Acidimicrobiia_unclassified,#e390bf
40,Acidiprofundales,#306a3c
41,Acidithiobacillales,#a56395
42,Acidobacteria,#4d6d30
43,Acidobacteria_unclassified,#924869
44,Acidobacteriae,#aab56e
45,Acidobacteriae_or,#e38f6b
46,Acidobacteriales,#666020
47,Acidobacteriia,#d1a965
48,Acidobacteriota,#966433
49,Acidobacteriota_cl,#868949
50,Acidobacteriota_or,#069668
51,Acidobacteriota_unclassified,#c7eea8
52,Actinobacteria,#5d99aa
53,Actinobacteria_or,#81f4fe
54,Actinobacteria_unclassified,#788ce0
55,Actinobacteriota,#955ccd
56,Actinobacteriota_unclassified,#f75ef0
57,Actinomarinales,#b95581
58,Actinomycetales,#f89ade
59,AD3,#dad2de
60,AD3_or,#7efc9d
61,ADurb.Bin180,#4ba40b
62,Aenigmarchaeales,#6f7d43
63,Aenigmarchaeia,#cfdf34
64,Aenigmarchaeota,#e13224
65,Aeromonadales,#faa566
66,Aerophobales,#bb5c2a
67,Aerophobia,#88fe0e
68,Aerophobota,#e21c7a
69,AKAU4049,#ab8791
70,AKAU4049_or,#399283
71,AKIW659,#3eeaef
72,Alicyclobacillales,#154e56
73,Alphaproteobacteria,#40e18c
74,Alphaproteobacteria_Incertae_Sedis,#39970e
75,Alphaproteobacteria_or,#b8e27d
76,Alphaproteobacteria_unclassified,#683c00
77,Alteromonadales,#ebb9c7
78,Altiarchaeales,#f4327e
79,Altiarchaeia,#8d102b
80,Altiarchaeia_or,#f76015
81,Altiarchaeota,#bf711e
82,Aminicenantales,#eac328
83,Aminicenantia,#1f3e9e
84,Ammonifexales,#7b7ec0
